ORF,Gene,Description,Number of peptides,glucose,maltose,oleate,fructose,sucrose,trehalose,lactate,acetate,pryuvate,glycerol
YDR083W,RRP8,"Nucleolar protein involved in rRNA processing, pre-rRNA cleavage at site A2; also involved in telomere maintenance; mutation is synthetically lethal with a gar1 mutation",24,9951.580,2634.730,3903.110,8524.060,8111.360,2997.450,3895.890,2438.750,4428.110,4108.350
YER067W,RGI1,Protein of unknown function involved in energy metabolism under respiratory conditions; protein abundance is increased upon intracellular iron depletion,21,535.137,7372.520,5459.970,511.074,578.970,11034.500,5467.110,2811.780,3148.200,3634.230
YKL011C,CCE1,"Mitochondrial cruciform cutting endonuclease, cleaves Holliday junctions formed during recombination of mitochondrial DNA",13,1126.960,1760.230,1945.810,1209.730,1346.230,2099.860,1539.680,2993.920,1565.830,1780.850
YEL070W,DSF1,Deletion suppressor of mpt5 mutation,4,154.094,762.099,352.771,156.087,375.888,781.755,492.806,171.531,386.205,1083.790
YDR363W,ESC2,"Sumo-like domain protein; prevents accumulation of toxic intermediates during replication-associated recombinational repair; roles in silencing, lifespan, chromatid cohesion and the intra-S-phase DNA damage checkpoint; RENi family member",13,1648.520,1794.210,1538.960,1743.550,1757.540,2106.620,1486.150,1397.160,1789.460,1861.760
YMR316W,DIA1,"Protein of unknown function, involved in invasive and pseudohyphal growth; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern",11,1440.090,1080.720,4902.870,1203.580,1214.960,1437.880,1911.930,13295.700,2695.440,2092.970
YKL189W,HYM1,"Component of the RAM signaling network that is involved in regulation of Ace2p activity and cellular morphogenesis, interacts with Kic1p and Sog2p, localizes to sites of polarized growth during budding and during the mating response",21,4187.720,5088.640,5125.040,4279.090,4112.200,5782.420,4651.830,1700.270,4468.510,7424.030
YKL040C,NFU1,"Protein involved in iron metabolism in mitochondria; similar to NifU, which is a protein required for the maturation of the Fe/S clusters of nitrogenase in nitrogen-fixing bacteria",33,5611.730,5744.100,7223.460,4920.730,5466.180,6760.450,6863.810,10719.400,6404.350,6655.290
YKL133C,YKL133C,"Putative protein of unknown function; has similarity to Mgr3p, but unlike MGR3, is not required for growth of cells lacking the mitochondrial genome (null mutation does not confer a petite-negative phenotype)",16,590.163,3044.800,2182.860,765.885,718.325,2855.990,2957.750,4188.940,2586.920,2411.570
YGL154C,LYS5,Phosphopantetheinyl transferase involved in lysine biosynthesis; converts inactive apo-form of Lys2p (alpha-aminoadipate reductase) into catalytically active holo-form by posttranslational addition of phosphopantetheine,5,403.363,886.731,904.829,401.517,423.583,765.753,1043.000,627.696,602.263,834.529
YDR142C,PEX7,Peroxisomal signal receptor for the N-terminal nonapeptide signal (PTS2) of peroxisomal matrix proteins; WD repeat protein; defects in human homolog cause lethal rhizomelic chondrodysplasia punctata (RCDP),15,1201.370,2308.980,2459.150,1378.130,1322.310,2359.630,2770.670,2361.190,2616.630,2682.250
YGR201C,YGR201C,Putative protein of unknown function,15,249.414,8882.660,1391.110,106.278,248.328,2372.240,5170.370,734.576,1237.440,933.625
YPR067W,ISA2,"Protein required for maturation of mitochondrial and cytosolic Fe/S proteins, localizes to the mitochondrial intermembrane space, overexpression of ISA2 suppresses grx5 mutations",7,855.064,1609.990,1668.100,825.472,926.461,1633.150,1598.130,2738.100,1674.930,1736.540
YNR024W,MPP6,"Nuclear exosome-associated RNA binding protein; involved in surveillance of pre-rRNAs and pre-mRNAs, and the degradation of cryptic non-coding RNAs (ncRNA); copurifies with ribosomes",8,2700.580,976.444,1236.010,2616.050,2620.730,1335.190,1282.150,896.818,1993.770,2049.670
YEL041W,YEF1,ATP-NADH kinase; phosphorylates both NAD and NADH; homooctameric structure consisting of 60-kDa subunits; sequence similarity to Utr1p and Pos5p; overexpression complements certain pos5 phenotypes,4,1104.170,786.183,1035.670,714.868,1033.630,818.171,1113.050,604.867,951.367,1039.840
YGR098C,ESP1,"Separase, a caspase-like cysteine protease that promotes sister chromatid separation by mediating dissociation of the cohesin Scc1p from chromatin; inhibits protein phosphatase 2A-Cdc55p to promote mitotic exit; inhibited by Pds1p",10,1392.890,533.760,823.803,1328.120,1404.400,765.592,879.926,780.576,1277.560,1121.930
YLR102C,APC9,"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C), which is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition",3,163.557,61.632,97.676,215.492,180.998,90.040,79.765,64.415,145.173,137.002
YPL186C,UIP4,"Protein that interacts with Ulp1p, a Ubl (ubiquitin-like protein)-specific protease for Smt3p protein conjugates; detected in a phosphorylated state in the mitochondrial outer membrane; also detected in ER and nuclear envelope",21,344.531,15238.200,6193.180,292.663,260.111,12547.200,9115.880,2078.220,2742.970,9067.250
YHR143W-A,RPC10,"RNA polymerase subunit ABC10-alpha, found in RNA polymerase complexes I, II, and III",8,2004.420,1207.400,1423.400,2229.880,2407.650,1391.750,1278.860,1665.480,1678.630,1413.510
YHR085W,IPI1,Essential component of the Rix1 complex (with Rix1p and Ipi3p) that is required for processing of ITS2 sequences from 35S pre-rRNA; Rix1 complex associates with Mdn1p in pre-60S ribosomal particles,9,2021.930,605.317,813.361,1959.960,1810.990,714.141,832.751,760.054,1006.530,856.915
YIR024C,YIR024C,"Protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; interacts with Arh1p, a mitochondrial oxidoreductase; deletion mutant has a respiratory growth defect",5,1125.660,1220.330,1759.410,1079.290,1007.240,1146.800,1464.130,2104.510,1318.120,1333.500
YDR371W,CTS2,"Putative chitinase, functionally complements A. gossypii cts2 mutant sporulation defect",10,2265.050,3049.980,2474.070,2563.720,2643.900,2849.450,2899.080,1531.020,1983.160,2834.930
YHR198C,AIM18,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss",20,1334.230,4426.260,4069.040,1542.790,1775.080,4224.080,4164.990,5202.830,3462.750,4172.420
YNL086W,SNN1,Putative protein of unknown function; likely member of BLOC complex involved in endosomal cargo sorting; green fluorescent protein (GFP)-fusion protein localizes to endosomes,3,472.310,1628.910,1419.530,437.223,451.887,1551.070,1574.820,1573.430,1174.860,1551.100
YGR220C,MRPL9,Mitochondrial ribosomal protein of the large subunit,18,1890.450,3273.970,3324.800,2317.310,2709.350,3840.890,3330.000,5801.950,3907.900,4931.070
YDR086C,SSS1,"Subunit of the Sec61p translocation complex (Sec61p-Sss1p-Sbh1p) that forms a channel for passage of secretory proteins through the endoplasmic reticulum membrane, and of the Ssh1p complex (Ssh1p-Sbh2p-Sss1p); interacts with Ost4p and Wbp1p",14,1916.770,1747.950,2467.570,1539.590,1741.500,1894.830,2140.550,3600.890,2589.910,2326.100
YDR146C,SWI5,Transcription factor that activates transcription of genes expressed at the M/G1 phase boundary and in G1 phase; localization to the nucleus occurs during G1 and appears to be regulated by phosphorylation by Cdc28p kinase,17,3227.090,1212.030,2739.550,3368.230,3289.820,1910.000,2875.560,1337.700,3872.060,3524.630
Q0055,AI2,"Reverse transcriptase required for splicing of the COX1 pre-mRNA, encoded by a mobile group II intron within the mitochondrial COX1 gene",8,538.199,841.581,1124.340,557.407,785.034,1110.130,1190.160,1225.320,1064.010,1184.720
YCR043C,YCR043C,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the Golgi apparatus; YCR043C is not an essential gene,8,1352.170,730.186,997.753,1380.810,1585.380,1056.310,947.757,569.549,1064.210,1162.080
YMR233W,TRI1,"Non-essential sumoylated protein of unknown function with similarity to components of human SWI/SNF complex including SMRD3; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm, nucleus and nucleolus",13,3216.460,2621.700,3214.770,2985.430,3199.490,2908.150,3496.290,2524.150,3329.420,2942.860
YOR187W,TUF1,"Mitochondrial translation elongation factor Tu; comprises both GTPase and guanine nucleotide exchange factor activities, while these activities are found in separate proteins in S. pombe and humans",97,6286.250,10835.400,12551.300,7546.890,9549.940,13713.300,11951.200,25327.800,13726.300,14746.500
YGL135W,RPL1B,"N-terminally acetylated protein component of the large (60S) ribosomal subunit, nearly identical to Rpl1Ap and has similarity to E. coli L1 and rat L10a ribosomal proteins; rpl1a rpl1b double null mutation is lethal",128,30206.900,15195.800,18576.600,35285.300,31663.600,15268.500,17911.000,17057.000,20668.100,19484.000
YNR059W,MNT4,"Putative alpha-1,3-mannosyltransferase, not required for protein O-glycosylation",1,150.158,54.415,104.937,122.830,114.701,49.023,56.910,111.999,96.738,100.450
YNL107W,YAF9,"Subunit of both the NuA4 histone H4 acetyltransferase complex and the SWR1 complex, may function to antagonize silencing near telomeres; interacts directly with Swc4p, has homology to human leukemogenic protein AF9, contains a YEATS domain",12,2437.170,1760.160,2011.020,2407.330,2316.900,2001.710,1892.280,3581.700,2090.370,1871.530
YCR019W,MAK32,Protein necessary for structural stability of L-A double-stranded RNA-containing particles,19,2496.910,3005.860,2470.710,2592.530,2595.830,3048.140,2970.720,2361.200,3196.970,3083.620
YBR228W,SLX1,"Subunit of a complex, with Slx4p, that hydrolyzes 5' branches from duplex DNA in response to stalled or converging replication forks; function overlaps with that of Sgs1p-Top3p",3,159.047,120.683,106.516,221.146,148.213,178.211,141.601,57.767,112.462,160.475
YOR158W,PET123,"Mitochondrial ribosomal protein of the small subunit; PET123 exhibits genetic interactions with PET122, which encodes a COX3 mRNA-specific translational activator",24,2566.850,3148.410,3672.810,2836.280,3957.540,4294.210,3788.590,7120.960,5490.810,5603.930
YDL092W,SRP14,"Signal recognition particle (SRP) subunit, interacts with the RNA component of SRP to form the Alu domain, which is the region of SRP responsible for arrest of nascent chain elongation during membrane targeting; homolog of mammalian SRP14",13,2268.530,1542.680,1237.720,2764.550,2687.070,1966.020,1451.690,1599.010,1773.710,1989.210
YMR289W,ABZ2,"Aminodeoxychorismate lyase (4-amino-4-deoxychorismate lyase), catalyzes the third step in para-aminobenzoic acid biosynthesis; involved in folic acid biosynthesis",19,1956.180,3005.960,2303.290,2254.500,2301.730,3045.750,3090.610,1797.560,2797.520,3355.530
YOL048C,RRT8,Putative protein of unknown function; identified in a screen for mutants with increased levels of rDNA transcription; green fluorescent protein (GFP)-fusion protein localizes to lipid particles,4,651.335,1200.820,1956.930,666.766,532.984,1136.760,1460.600,1247.690,1087.810,1159.550
YLR119W,SRN2,"Component of the ESCRT-I complex, which is involved in ubiquitin-dependent sorting of proteins into the endosome; suppressor of rna1-1 mutation; may be involved in RNA export from nucleus",15,3872.010,3806.460,2896.140,3584.490,3685.730,3808.650,3224.540,3580.080,3222.110,3415.830
YOR295W,UAF30,"Subunit of UAF (upstream activation factor), which is an RNA polymerase I specific transcription stimulatory factor composed of Uaf30p, Rrn5p, Rrn9p, Rrn10p, histones H3 and H4; deletion decreases cellular growth rate",4,402.195,313.200,360.721,333.303,393.133,301.482,310.561,342.026,409.450,377.884
YHL029C,OCA5,"Cytoplasmic protein required for replication of Brome mosaic virus in S. cerevisiae, which is a model system for studying replication of positive-strand RNA viruses in their natural hosts",12,2240.520,2970.010,3100.050,2411.750,2366.200,3265.150,3735.010,3357.960,3955.270,3712.450
YJR083C,ACF4,"Protein of unknown function, computational analysis of large-scale protein-protein interaction data suggests a possible role in actin cytoskeleton organization; potential Cdc28p substrate",16,2138.880,2321.960,2128.500,2035.120,2023.360,3020.510,2067.410,2669.810,2577.080,2632.230
YIL003W,CFD1,"Highly conserved, iron-sulfur cluster binding protein localized in the cytoplasm; forms a complex with Nbp35p that is involved in iron-sulfur protein assembly in the cytosol",13,3140.750,2124.280,2304.600,3220.070,3118.110,2278.140,1894.070,2652.250,2649.330,1558.840
YOR363C,PIP2,"Autoregulatory oleate-specific transcriptional activator of peroxisome proliferation, contains Zn(2)-Cys(6) cluster domain, forms heterodimer with Oaf1p, binds oleate response elements (OREs), activates beta-oxidation genes",15,1125.200,879.975,3464.240,1080.190,1193.410,1114.750,1089.990,950.762,994.050,1811.950
YAL015C,NTG1,DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair; acts in both nucleus and mitochondrion; creates a double-strand break at mtDNA origins that stimulates replication in response to oxidative stress,9,1880.700,1033.860,1754.800,1959.170,2097.570,1809.490,1663.010,1917.310,2024.790,2091.110
YBL002W,HTB2,"Histone H2B, core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB1; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates transcriptional activation, meiotic DSB formation and H3 methylation",74,22806.300,31669.900,26673.700,22960.200,23097.500,21391.700,20557.400,22140.100,21395.300,16532.500
YOL108C,INO4,"Transcription factor required for derepression of inositol-choline-regulated genes involved in phospholipid synthesis; forms a complex, with Ino2p, that binds the inositol-choline-responsive element through a basic helix-loop-helix domain",5,399.724,236.722,264.419,419.264,424.057,241.015,256.952,178.728,380.381,332.740
YAL061W,BDH2,Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3,18,733.115,7296.810,5732.080,1573.170,444.596,10825.900,3827.230,2296.620,1698.460,8287.460
YOR357C,SNX3,Sorting nexin required to maintain late-Golgi resident enzymes in their proper location by recycling molecules from the prevacuolar compartment; contains a PX domain and sequence similarity to human Snx3p,19,3732.900,2914.220,3421.440,3744.980,3907.360,3608.250,3450.020,3498.050,3888.100,3612.190
